TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034350x106132804168948000,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034958x898185586266718700,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581035378x979795313264977500,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034051x890135366801872500,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581035704x509676708854641200,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581033277x961327295054719600,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581033721x590777676574185900,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034664x519199779407950800,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581271551x161387369883737380,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581271225x302114297119999500,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581270787x235923469389206270,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268475x811393146150399600,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
