TIMESTAMP_UTC,CANDIDATE_ID,CLIENT,JOB_ID,CREATED_BY,EVENTS_AT_SAME_TIMESTAMP,STAGES_WRITTEN,CANDIDATE_STAGE_NOW,PHANTOM_HIRED,REAL_HIRE_DATE
2026-08-25 15:54:09.817,1787673029911x535170670664612400,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:09.999,1787673029032x419643275724505660,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.110,1787673027146x376484865481266050,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.130,1787673028250x114558423124466960,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.191,1787673021894x852905226110212700,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.443,1787673022801x823314354113762700,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.674,1787673023625x637023429198403200,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.745,1787673024487x136401187261655950,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.765,1787673025289x712663338169252000,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:10.779,1787673026178x668296908973186700,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 16:12:11.607,1787674241126x421032449662924740,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:11.753,1787674239417x649437352185047400,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:11.766,1787674240283x833356407662706700,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:11.849,1787674238706x614331948492943500,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:11.879,1787674237948x511246317597488830,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.075,1787674236952x262353806534557400,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
